"_col0","month","day"
"393284","06","22"
"306762","06","23"
"257375","06","24"
"273447","06","25"
"291195","06","26"
"309542","06","27"
"354144","06","28"
"381519","06","29"
"308942","06","30"
"236460","07","01"
"255704","07","02"
"279685","07","03"
"285623","07","04"
"291607","07","05"
"306799","07","06"
"258732","07","07"
"234558","07","08"
"244554","07","09"
"273930","07","10"
"289986","07","11"
"355003","07","12"
"398264","07","13"
"307565","07","14"
"261541","07","15"
"269235","07","16"
"287214","07","17"
"324332","07","18"
"389428","07","19"
"414537","07","20"
"310210","07","21"
"248799","07","22"
"251103","07","23"
"267308","07","24"
"294802","07","25"
"341874","07","26"
"389184","07","27"
"300295","07","28"
"245455","07","29"
"248336","07","30"
"276697","07","31"
"313224","08","01"
"367527","08","02"
"394569","08","03"
"323041","08","04"
"271543","08","05"
"261411","08","06"
"276298","08","07"
"301877","08","08"
"352289","08","09"
"390836","08","10"
"292913","08","11"
"257536","08","12"
"249872","08","13"
"266129","08","14"
"291240","08","15"
"344403","08","16"
"376321","08","17"
"284670","08","18"
"246825","08","19"
"262739","08","20"
"273787","08","21"
"296563","08","22"
"346360","08","23"
"377350","08","24"
"285463","08","25"
"247074","08","26"
"239345","08","27"
"252471","08","28"
"279290","08","29"
"330054","08","30"
"354119","08","31"
"315139","09","01"
"223797","09","02"
"239791","09","03"
"239941","09","04"
"282331","09","05"
"321531","09","06"
"356360","09","07"
"277223","09","08"
"237946","09","09"
"254985","09","10"
"273132","09","11"
"296636","09","12"
"371445","09","13"
"396491","09","14"
"311074","09","15"
"252823","09","16"
"258249","09","17"
"269560","09","18"
"297997","09","19"
"359517","09","20"
"397340","09","21"
"303678","09","22"
"250974","09","23"
"254698","09","24"
"273540","09","25"
"296657","09","26"
"376952","09","27"
"384590","09","28"
"299409","09","29"
"242596","09","30"
"247189","10","01"
"273277","10","02"
"288371","10","03"
"342387","10","04"
"375724","10","05"
"278917","10","06"
"236999","10","07"
"238840","10","08"
"250671","10","09"
"294941","10","10"
"376212","10","11"
"387295","10","12"
"290386","10","13"
"260946","10","14"
"267195","10","15"
"285350","10","16"
"311772","10","17"
"368655","10","18"
"388793","10","19"
"309995","10","20"
"265844","10","21"
"277388","10","22"
"279085","10","23"
"307286","10","24"
"370379","10","25"
"461000","10","26"
"320787","10","27"
"251491","10","28"
"268341","10","29"
"297363","10","30"
"327640","10","31"
"387122","11","01"
"392185","11","02"
"302478","11","03"
"248522","11","04"
"260606","11","05"
"277635","11","06"
"324674","11","07"
"384000","11","08"
"403993","11","09"
"313052","11","10"
"266167","11","11"
"306257","11","12"
"313167","11","13"
"326072","11","14"
"375120","11","15"
"392343","11","16"
"291126","11","17"
"259550","11","18"
"271085","11","19"
"280777","11","20"
"321550","11","21"
"375776","11","22"
"380325","11","23"
"282842","11","24"
"239353","11","25"
"273506","11","26"
"296863","11","27"
"205538","11","28"
"242867","11","29"
"310896","11","30"
"260714","12","01"
"271379","12","02"
"280864","12","03"
"294488","12","04"
"329524","12","05"
"399837","12","06"
"418442","12","07"
"296037","12","08"
"260283","12","09"
"290100","12","10"
"308144","12","11"
"334928","12","12"
"403561","12","13"
"437057","12","14"
"320023","12","15"
"261836","12","16"
"280417","12","17"
"312601","12","18"
"330737","12","19"
"370303","12","20"
"355565","12","21"
"273452","12","22"
"232899","12","23"
"180808","12","24"
"118926","12","25"
"187503","12","26"
"261772","12","27"
"292073","12","28"
"246370","12","29"
"255999","12","30"
"374839","12","31"
