"_col0","month","day"
"297010","01","01"
"213631","01","02"
"226495","01","03"
"277396","01","04"
"296107","01","05"
"258491","01","06"
"233607","01","07"
"227944","01","08"
"264425","01","09"
"286210","01","10"
"338270","01","11"
"372144","01","12"
"262499","01","13"
"242367","01","14"
"254897","01","15"
"263975","01","16"
"285115","01","17"
"347208","01","18"
"352631","01","19"
"311343","01","20"
"251522","01","21"
"271637","01","22"
"283986","01","23"
"314915","01","24"
"381887","01","25"
"383958","01","26"
"288000","01","27"
"243656","01","28"
"290705","01","29"
"170454","01","30"
"292498","01","31"
"368969","02","01"
"371227","02","02"
"290103","02","03"
"252479","02","04"
"264662","02","05"
"277595","02","06"
"313272","02","07"
"388594","02","08"
"384745","02","09"
"276712","02","10"
"260670","02","11"
"275231","02","12"
"294756","02","13"
"315614","02","14"
"377832","02","15"
"392786","02","16"
"299919","02","17"
"252543","02","18"
"265896","02","19"
"284163","02","20"
"319512","02","21"
"384906","02","22"
"415926","02","23"
"305589","02","24"
"284226","02","25"
"293904","02","26"
"305956","02","27"
"331528","02","28"
"391380","03","01"
"405173","03","02"
"316349","03","03"
"321636","03","04"
"320786","03","05"
"320112","03","06"
"337046","03","07"
"383981","03","08"
"415393","03","09"
"287863","03","10"
"273833","03","11"
"284126","03","12"
"298564","03","13"
"333802","03","14"
"415924","03","15"
"513991","03","16"
"329517","03","17"
"270505","03","18"
"267143","03","19"
"292330","03","20"
"313546","03","21"
"370313","03","22"
"379737","03","23"
"286944","03","24"
"256004","03","25"
"261082","03","26"
"270512","03","27"
"292513","03","28"
"368901","03","29"
"389505","03","30"
"300632","03","31"
"265881","04","01"
"268697","04","02"
"281141","04","03"
"324808","04","04"
"363407","04","05"
"385164","04","06"
"283844","04","07"
"269763","04","08"
"270222","04","09"
"313081","04","10"
"320597","04","11"
"374448","04","12"
"390771","04","13"
"313764","04","14"
"259585","04","15"
"260457","04","16"
"261642","04","17"
"319134","04","18"
"350568","04","19"
"343203","04","20"
"255479","04","21"
"249192","04","22"
"265381","04","23"
"277483","04","24"
"303557","04","25"
"360268","04","26"
"419649","04","27"
"285706","04","28"
"278625","04","29"
"296294","04","30"
"290388","05","01"
"329941","05","02"
"373490","05","03"
"400006","05","04"
"316104","05","05"
"273649","05","06"
"280524","05","07"
"271461","05","08"
"307941","05","09"
"366363","05","10"
"389888","05","11"
"293378","05","12"
"256370","05","13"
"258688","05","14"
"274210","05","15"
"309474","05","16"
"381529","05","17"
"408655","05","18"
"311497","05","19"
"282029","05","20"
"291328","05","21"
"289149","05","22"
"305613","05","23"
"351973","05","24"
"363376","05","25"
"317110","05","26"
"227689","05","27"
"264740","05","28"
"260049","05","29"
"295485","05","30"
"364794","05","31"
"392659","06","01"
"306097","06","02"
"264014","06","03"
"279328","06","04"
"288969","06","05"
"307510","06","06"
"364922","06","07"
"390717","06","08"
"309285","06","09"
"264233","06","10"
"272274","06","11"
"303730","06","12"
"311446","06","13"
"380326","06","14"
"401625","06","15"
"289650","06","16"
"263256","06","17"
"273837","06","18"
"301304","06","19"
"310913","06","20"
"366488","06","21"
